Evaluación para la clase: 1:Bachelors
ID,Evaluación
1,TP
2,TP
3,TP
4,TP
5,TP
6,TP
7,FN
8,TN
9,FP
10,TP
11,TP
12,TP
13,TP
14,TN
15,TP
16,TP
17,TP
18,TP
19,TP
20,TP
21,TP
22,TP
23,TN
24,TP
25,TP
26,TP
27,TP
28,TP
29,TP
30,TP
31,TP
32,TP
33,TP
34,TP
35,TN
36,TN
37,TP
38,FP
39,TP
40,TP
41,TP
42,TP
43,TP
44,TP
45,TP
46,FP
47,FN
48,TP
49,TP
50,TP
51,TP
52,TP
53,TP
54,TP
55,TP
56,TN
57,FP
58,FN
59,TN
60,TP
61,TP
62,TP
63,TP
64,FP
65,TP
66,FP
67,TP
68,TP
69,TP
70,TN
71,TP
72,FP
73,TP
74,FN
75,TP
76,TN
77,FP
78,FP
79,TP
80,TN
81,TP
82,FP
83,TN
84,TP
85,TP
86,TP
87,TP
88,TP
89,TP
90,TN
91,TN
92,TP
93,TP
94,TN
95,TP
96,TP
97,TP
98,FN
99,TN
100,TP
101,TP
102,TP
103,TP
104,TP
105,TP
106,FN
107,TP
108,TP
109,TP
110,FN
111,TP
112,TP
113,TP
114,FN
115,TP
116,TP
117,TP
118,TP
119,TP
120,FN
121,TP
122,TN
123,TP
124,TP
125,TP
126,TP
127,TP
128,TP
129,TP
130,TP
131,TP
132,TP
133,TP
134,TP
135,TP
136,TP
137,FN
138,FP
139,TP
140,FP
141,TP
142,TP
143,TN
144,TP
145,TN
146,TP
147,TN
148,TP
149,TP
150,TP
151,FN
152,TN
153,TP
154,TP
155,TP
156,TN
157,TP
158,TP
159,FP
160,TP
161,TP
162,TP
163,TP
164,FN
165,TN
166,TP
167,FP
168,TP
169,TP
170,TP
171,TP
172,TP
173,TP
174,FP
175,TP
176,TP
177,TP
178,TP
179,TP
180,TP
181,FN
182,TP
183,TP
184,TP
185,TN
186,TP
187,TP
188,TP
189,TN
190,TP
191,TP
192,TN
193,TP
194,TP
195,TP
196,TN
197,TP
198,TP
199,TP
200,TP
201,FN
202,TP
203,FP
204,TP
205,TN
206,TP
207,FP
208,TN
209,TP
210,TP
211,TP
212,TP
213,TP
214,TP
215,TP
216,TN
217,TP
218,TP
219,TP
220,TN
221,TP
222,TP
223,TP
224,TP
225,FN
226,TP
227,TP
228,TP
229,TP
230,TP
231,TP
232,TP
233,TP
234,TP
235,TP
236,TP
237,TP
238,TP
239,TP
240,TP
241,TP
242,TN
243,TP
244,TP
245,TP
246,TN
247,TP
248,FN
249,TP
250,TP
251,TP
252,TP
253,TN
254,TP
255,FN
256,TN
257,TN
258,TP
259,TP
260,FP
261,TP
262,FP
263,TP
264,TN
265,TP
266,TP
267,FP
268,TP
269,TP
270,TP
271,FP
272,TP
273,TP
274,TP
275,TP
276,TP
277,TP
278,FN
279,TP
280,FP
281,TP
282,TP
283,TP
284,FN
285,TN
286,TP
287,TP
288,TP
289,TP
290,TN
291,TP
292,FP
293,TN
294,TP
295,TP
296,TN
297,TN
298,TP
299,TP
300,TP
301,TP
302,TP
303,TP
304,TP
305,TP
306,TP
307,TP
308,FP
309,TP
310,TP
311,FN
312,TP
313,TP
314,TP
315,TP
316,TP
317,TP
318,FN
319,FP
320,TP
321,TN
322,TP
323,TP
324,TP
325,TP
326,FP
327,FP
328,TP
329,TP
330,TP
331,TP
332,TP
333,TP
334,FP
335,TP
336,FN
337,TP
338,TP
339,FN
340,TP
341,FP
342,TN
343,TP
344,TP
345,TP
346,TN
347,TP
348,TP
349,TP
350,TP
351,TN
352,TP
353,TP
354,TP
355,TP
356,TP
357,TN
358,TP
359,TP
360,TN
361,TP
362,FP
363,FP
364,TP
365,FN
366,FN
367,TP
368,TP
369,TN
370,TP
371,TP
372,FP
373,TP
374,TP
375,TP
376,TP
